선수명,FA_직전년도,FA년도,구단명,포지션,투,타,인정년수,구분,FA등급,플레이년도,Age,G,PA,AB,R,H,2B,3B,HP,HR,RBI,SB,CS,BB,SO,GDP,SF,수비_필딩 RAA,수비_포지션 RAA,전체수비 RAA,oWAR,dWAR,연봉,비고,잔류 여부,FA 계약 연수,FA 계약 총액,TEAM RANK,TEAM G,TEAM PA,TEAM AB,TEAM R,TEAM H,TEAM 2B,TEAM 3B,TEAM HP,TEAM HR,TEAM RBI,TEAM SB,TEAM CS,TEAM BB,TEAM SO,TEAM GDP,TEAM SF,TEAM 수비_필딩 RAA,TEAM 수비_포지션 RAA,TEAM 전체수비 RAA,TEAM oWAR,TEAM dWAR,TEAM 연봉
박석민,2016,2016,삼성,3B,우투,우타,9.0,신규,A,2015,30.0,135.0,559.0,448.0,90.0,144.0,25.0,0.0,19.0,26.0,116.0,3.0,0.0,83.0,97.0,13.0,8.0,6.95,0.0,6.95,5.84,0.64,47000.0,고졸,이적,4.0,96.0,2.0,144.0,5803.0,5019.0,897.0,1515.0,259.0,25.0,70.0,176.0,850.0,157.0,52.0,581.0,930.0,109.0,57.0,0.96,5.77,-8.74,32.86,0.08,693600.0
박석민,2020,2020,NC,3B,우투,우타,4.0,재자격,A,2019,34.0,112.0,444.0,360.0,49.0,96.0,17.0,1.0,12.0,19.0,74.0,1.0,2.0,65.0,69.0,17.0,3.0,-1.43,-4.44,-5.87,3.16,-0.15,75000.0,고졸,잔류,3.0,34.0,5.0,144.0,5631.0,4968.0,674.0,1383.0,249.0,26.0,83.0,128.0,639.0,87.0,45.0,456.0,880.0,126.0,60.0,10.59,22.04,3.58,25.29,0.91,796700.0
박세혁,2023,2023,두산,C,우투,좌타,7.0,신규,A,2022,32.0,128.0,402.0,351.0,33.0,87.0,13.0,1.0,6.0,3.0,41.0,2.0,2.0,33.0,71.0,4.0,4.0,0.59,9.5,10.09,1.47,0.06,30000.0,대졸,이적,4.0,46.0,9.0,144.0,5510.0,4891.0,638.0,1249.0,210.0,12.0,71.0,101.0,592.0,90.0,40.0,450.0,1007.0,116.0,45.0,-9.52,-20.71,-19.24,15.56,-0.98,808700.0
박용택,2015,2015,LG,CF,우투,좌타,4.0,재자격,A,2014,35.0,124.0,549.0,464.0,71.0,159.0,24.0,2.0,1.0,9.0,73.0,11.0,9.0,75.0,65.0,15.0,7.0,4.53,-4.22,0.31,3.75,0.4,35000.0,고졸,잔류,4.0,50.0,4.0,128.0,5070.0,4349.0,668.0,1214.0,213.0,22.0,63.0,90.0,622.0,105.0,64.0,524.0,817.0,112.0,57.0,10.35,-11.98,0.93,13.69,0.92,502800.0
박용택,2019,2019,LG,DH,우투,좌타,4.0,재자격,A,2018,39.0,134.0,583.0,524.0,89.0,159.0,38.0,1.0,5.0,15.0,76.0,3.0,3.0,47.0,107.0,21.0,7.0,1.09,-13.68,-12.59,1.5,0.1,80000.0,고졸,잔류,2.0,25.0,8.0,144.0,5665.0,5070.0,788.0,1487.0,299.0,12.0,75.0,148.0,740.0,71.0,38.0,418.0,1001.0,125.0,51.0,-27.85,-22.4,-35.85,21.66,-2.31,851800.0
박재상,2016,2016,SK,LF,좌투,좌타,9.0,신규,A,2015,33.0,108.0,292.0,250.0,34.0,62.0,12.0,2.0,3.0,7.0,37.0,4.0,5.0,32.0,53.0,4.0,1.0,0.73,-1.81,-1.08,0.36,0.07,16000.0,고졸,잔류,2.0,5.5,5.0,144.0,5588.0,4861.0,693.0,1323.0,214.0,10.0,98.0,145.0,656.0,94.0,59.0,490.0,1047.0,113.0,29.0,-20.69,-5.15,-29.84,14.72,-1.07,756700.0
박정권,2016,2016,SK,1B,좌투,좌타,8.0,신규,A,2015,34.0,124.0,494.0,438.0,66.0,123.0,23.0,0.0,4.0,21.0,70.0,3.0,3.0,46.0,119.0,9.0,2.0,7.4,-9.86,-2.46,1.23,0.68,40000.0,대졸,잔류,4.0,30.0,5.0,144.0,5588.0,4861.0,693.0,1323.0,214.0,10.0,98.0,145.0,656.0,94.0,59.0,490.0,1047.0,113.0,29.0,-20.69,-5.15,-29.84,14.72,-1.07,756700.0
박한이,2014,2014,삼성,RF,좌투,좌타,4.0,재자격,A,2013,34.0,112.0,466.0,394.0,56.0,112.0,12.0,3.0,1.0,6.0,55.0,4.0,4.0,51.0,74.0,5.0,2.0,17.76,-4.55,13.22,2.07,1.66,35000.0,고졸,잔류,4.0,28.0,1.0,128.0,5042.0,4370.0,669.0,1235.0,212.0,17.0,93.0,113.0,624.0,95.0,41.0,453.0,818.0,98.0,41.0,17.85,-1.74,16.12,28.45,2.03,431300.0
박해민,2022,2022,삼성,CF,우투,좌타,8.0,신규,A,2021,31.0,127.0,542.0,454.0,78.0,132.0,22.0,1.0,3.0,5.0,54.0,36.0,15.0,69.0,82.0,3.0,7.0,3.75,-0.1,3.65,2.97,0.37,38000.0,대졸,이적,4.0,60.0,3.0,144.0,5552.0,4836.0,712.0,1292.0,204.0,18.0,55.0,133.0,669.0,116.0,44.0,545.0,902.0,98.0,68.0,-10.3,12.57,-19.22,18.47,-1.19,578200.0
손시헌,2014,2014,두산,SS,우투,우타,8.0,신규,A,2013,33.0,93.0,268.0,234.0,35.0,59.0,14.0,1.0,6.0,1.0,26.0,3.0,1.0,21.0,38.0,5.0,1.0,10.78,5.47,16.25,0.8,1.66,18000.0,대졸,이적,4.0,30.0,2.0,128.0,5142.0,4401.0,699.0,1271.0,217.0,37.0,79.0,95.0,654.0,172.0,61.0,524.0,717.0,105.0,56.0,8.01,-0.56,7.44,36.32,1.04,345000.0
손시헌,2018,2018,NC,SS,우투,우타,4.0,재자격,A,2017,37.0,124.0,391.0,349.0,32.0,122.0,17.0,1.0,8.0,5.0,45.0,1.0,0.0,16.0,44.0,5.0,5.0,3.35,7.8,11.15,3.1,0.31,40000.0,고졸,잔류,2.0,15.0,4.0,144.0,5790.0,5079.0,786.0,1489.0,277.0,19.0,130.0,149.0,739.0,93.0,32.0,471.0,979.0,119.0,48.0,16.48,35.2,6.55,24.87,1.52,713700.0
손아섭,2018,2018,롯데,RF,우투,좌타,9.0,신규,A,2017,29.0,144.0,667.0,576.0,113.0,193.0,35.0,4.0,4.0,20.0,80.0,25.0,8.0,83.0,96.0,7.0,3.0,5.34,-6.94,-1.6,5.1,0.49,65000.0,고졸,잔류,4.0,98.0,3.0,144.0,5671.0,4994.0,743.0,1425.0,250.0,17.0,112.0,151.0,697.0,92.0,44.0,457.0,1018.0,146.0,32.0,16.21,8.53,6.5,17.96,1.67,858600.0
손아섭,2022,2022,롯데,RF,우투,좌타,4.0,재자격,B,2021,33.0,139.0,610.0,542.0,88.0,173.0,29.0,2.0,3.0,3.0,58.0,11.0,6.0,61.0,67.0,15.0,1.0,-3.45,-6.22,-9.67,2.91,-0.34,50000.0,고졸,이적,4.0,64.0,8.0,144.0,5726.0,5009.0,727.0,1393.0,266.0,10.0,54.0,107.0,697.0,60.0,31.0,579.0,969.0,114.0,46.0,-24.26,-13.58,-33.77,22.75,-3.11,481800.0
송광민,2019,2019,한화,3B,우투,우타,8.0,신규,A,2018,35.0,113.0,460.0,434.0,63.0,129.0,24.0,0.0,4.0,18.0,79.0,4.0,4.0,18.0,93.0,13.0,4.0,1.22,-1.68,-0.46,1.2,0.11,24000.0,대졸,잔류,2.0,16.0,3.0,144.0,5539.0,4972.0,729.0,1369.0,249.0,14.0,88.0,151.0,668.0,118.0,64.0,420.0,1098.0,113.0,28.0,24.57,11.38,15.86,12.72,2.19,562100.0
신본기,2023,2023,KT,SS,우투,우타,7.0,신규,C,2022,33.0,74.0,138.0,121.0,9.0,22.0,3.0,0.0,2.0,1.0,8.0,0.0,1.0,10.0,28.0,5.0,1.0,0.75,1.63,2.38,-0.55,0.08,11500.0,대졸,잔류,2.0,3.0,4.0,144.0,5547.0,4864.0,631.0,1237.0,192.0,19.0,49.0,119.0,588.0,89.0,34.0,519.0,1183.0,105.0,44.0,13.16,14.83,4.34,17.82,1.35,749000.0
안치홍,2020,2020,KIA,2B,우투,우타,9.0,신규,A,2019,29.0,105.0,408.0,362.0,45.0,114.0,18.0,1.0,1.0,5.0,49.0,4.0,2.0,40.0,37.0,9.0,5.0,-6.15,2.94,-3.21,2.8,-0.63,50000.0,고졸,,4.0,56.0,7.0,144.0,5505.0,4874.0,605.0,1286.0,248.0,19.0,58.0,76.0,567.0,87.0,42.0,497.0,919.0,108.0,45.0,-34.68,-26.69,-42.45,17.58,-3.89,728800.0
안치홍,2024,2024,롯데,2B,우투,우타,4.0,재자격,B,2023,33.0,121.0,494.0,425.0,57.0,124.0,20.0,1.0,10.0,8.0,63.0,3.0,3.0,49.0,53.0,14.0,5.0,-4.54,0.9,-3.65,2.77,-0.46,50000.0,2번째 FA,이적,4.0,55.0,7.0,144.0,5576.0,4871.0,653.0,1289.0,231.0,19.0,51.0,69.0,608.0,101.0,42.0,522.0,1000.0,110.0,57.0,-32.72,-29.39,-42.0,17.11,-3.34,536460.0
양석환,2024,2024,두산,1B,우투,우타,7.0,신규,A,2023,32.0,140.0,582.0,524.0,73.0,147.0,28.0,0.0,6.0,21.0,89.0,4.0,0.0,41.0,133.0,9.0,11.0,4.03,-12.14,-8.11,2.42,0.41,40000.0,대졸,잔류,6.0,78.0,5.0,144.0,5538.0,4859.0,620.0,1238.0,210.0,32.0,76.0,100.0,565.0,133.0,48.0,505.0,975.0,90.0,41.0,7.77,-5.94,0.0,20.22,0.72,742300.0
양의지,2019,2019,두산,C,우투,우타,9.0,신규,A,2018,31.0,133.0,503.0,439.0,84.0,157.0,29.0,1.0,13.0,23.0,77.0,6.0,0.0,45.0,40.0,13.0,6.0,1.32,9.46,10.77,6.63,0.12,60000.0,고졸,이적,4.0,125.0,2.0,144.0,5870.0,5176.0,944.0,1601.0,284.0,30.0,92.0,191.0,898.0,96.0,23.0,496.0,1016.0,112.0,63.0,31.25,30.09,23.63,37.38,2.69,690700.0
양의지,2023,2023,NC,C,우투,우타,4.0,재자격,B,2022,35.0,130.0,510.0,427.0,61.0,121.0,24.0,0.0,13.0,20.0,94.0,3.0,1.0,60.0,48.0,16.0,10.0,4.12,5.47,9.59,5.03,0.42,100000.0,고졸,이적,6.0,152.0,6.0,144.0,5585.0,4899.0,646.0,1260.0,230.0,15.0,88.0,105.0,613.0,100.0,39.0,501.0,981.0,112.0,47.0,-7.0,-6.71,-14.51,19.94,-0.72,823200.0
오선진,2023,2023,삼성,3B,우투,우타,9.0,자격유지,C,2022,33.0,100.0,306.0,268.0,30.0,74.0,8.0,0.0,3.0,3.0,24.0,2.0,2.0,18.0,51.0,5.0,1.0,-4.72,2.37,-2.35,0.63,-0.49,7000.0,22년 C등급,이적,2.0,4.0,7.0,144.0,5647.0,5023.0,663.0,1358.0,241.0,19.0,54.0,103.0,627.0,91.0,27.0,446.0,1029.0,119.0,41.0,-21.46,0.42,-28.41,18.17,-2.21,842300.0
오재원,2016,2016,두산,2B,우투,좌타,8.0,신규,A,2015,30.0,120.0,474.0,411.0,60.0,115.0,20.0,2.0,4.0,11.0,59.0,31.0,8.0,47.0,94.0,9.0,4.0,-0.41,4.61,4.2,2.52,-0.04,40000.0,대졸,잔류,4.0,38.0,1.0,144.0,5759.0,4957.0,807.0,1436.0,254.0,22.0,99.0,140.0,770.0,111.0,47.0,567.0,820.0,139.0,60.0,4.5,-15.85,-3.26,29.31,0.42,588000.0
오재원,2020,2020,두산,2B,우투,좌타,4.0,재자격,A,2019,34.0,98.0,204.0,177.0,30.0,29.0,8.0,1.0,0.0,3.0,18.0,6.0,2.0,25.0,50.0,3.0,0.0,-7.45,1.9,-5.55,-0.2,-0.77,55000.0,대졸,잔류,3.0,19.0,1.0,144.0,5670.0,4913.0,736.0,1364.0,235.0,31.0,72.0,84.0,691.0,102.0,38.0,563.0,799.0,117.0,83.0,20.76,20.57,11.54,29.09,2.13,596100.0
오재일,2021,2021,두산,1B,좌투,좌타,9.0,신규,A,2020,34.0,127.0,534.0,471.0,62.0,147.0,32.0,0.0,0.0,16.0,89.0,2.0,1.0,61.0,92.0,12.0,2.0,-4.08,-10.76,-14.85,3.15,-0.38,47000.0,고졸,이적,4.0,50.0,2.0,144.0,5776.0,5046.0,816.0,1477.0,263.0,20.0,68.0,125.0,778.0,88.0,37.0,551.0,796.0,132.0,73.0,-16.54,-25.41,-27.23,30.64,-1.48,677600.0
오지환,2020,2020,LG,SS,우투,좌타,9.0,신규,A,2019,29.0,134.0,547.0,473.0,63.0,119.0,23.0,5.0,7.0,9.0,53.0,27.0,5.0,57.0,113.0,7.0,3.0,10.93,10.92,21.85,3.97,1.12,40000.0,고졸,잔류,4.0,40.0,4.0,144.0,5536.0,4928.0,641.0,1316.0,233.0,15.0,77.0,94.0,604.0,108.0,47.0,434.0,962.0,117.0,48.0,11.94,14.3,3.53,20.38,1.23,745100.0
오지환,2024,2024,LG,SS,우투,좌타,4.0,재자격,B,2023,33.0,126.0,502.0,422.0,65.0,113.0,24.0,3.0,8.0,8.0,62.0,16.0,7.0,64.0,82.0,4.0,4.0,3.4,9.94,13.34,4.66,0.35,60000.0,2번째 FA,잔류,6.0,124.0,1.0,144.0,5687.0,4881.0,767.0,1364.0,227.0,27.0,73.0,93.0,714.0,166.0,101.0,583.0,804.0,89.0,55.0,6.8,34.27,-1.96,31.56,0.69,556000.0
오태곤,2023,2023,SSG,LF,우투,우타,8.0,신규,C,2022,31.0,130.0,295.0,263.0,48.0,61.0,14.0,1.0,9.0,4.0,23.0,11.0,4.0,15.0,68.0,3.0,3.0,5.61,-3.32,2.29,-0.11,0.58,10500.0,고졸,잔류,4.0,18.0,1.0,144.0,5642.0,4893.0,720.0,1245.0,242.0,18.0,95.0,138.0,682.0,98.0,39.0,530.0,1075.0,96.0,47.0,31.78,20.6,22.28,23.68,3.53,1191700.0
용덕한,2017,2017,NC,C,우투,우타,8.0,신규,A,2016,35.0,88.0,116.0,104.0,16.0,22.0,3.0,0.0,1.0,2.0,7.0,0.0,0.0,8.0,21.0,5.0,1.0,2.2,2.71,4.91,-0.34,0.19,8500.0,대졸,,,,2.0,144.0,5833.0,5007.0,857.0,1457.0,249.0,19.0,93.0,169.0,808.0,99.0,41.0,609.0,1023.0,133.0,52.0,6.4,-8.9,-3.55,24.47,0.57,723500.0
유강남,2023,2023,LG,C,우투,우타,8.0,신규,A,2022,30.0,139.0,469.0,416.0,54.0,106.0,16.0,0.0,11.0,8.0,47.0,0.0,0.0,34.0,98.0,9.0,2.0,2.86,10.78,13.63,2.49,0.29,27000.0,고졸,이적,4.0,80.0,3.0,144.0,5627.0,4927.0,715.0,1325.0,208.0,33.0,103.0,118.0,674.0,102.0,46.0,501.0,924.0,109.0,46.0,21.98,24.7,13.13,28.62,2.26,784300.0
유한준,2016,2016,넥센,RF,우투,우타,8.0,신규,A,2015,34.0,139.0,598.0,520.0,103.0,188.0,42.0,1.0,2.0,23.0,116.0,3.0,3.0,67.0,71.0,13.0,8.0,8.8,-3.64,5.16,5.52,0.81,28000.0,대졸,이적,4.0,60.0,4.0,144.0,5811.0,5069.0,904.0,1512.0,304.0,20.0,82.0,203.0,855.0,100.0,47.0,544.0,1098.0,112.0,55.0,14.64,28.04,4.52,30.43,1.44,529300.0
유한준,2020,2020,KT,RF,우투,우타,4.0,재자격,A,2019,38.0,139.0,562.0,501.0,61.0,159.0,19.0,1.0,4.0,14.0,86.0,3.0,0.0,52.0,61.0,20.0,5.0,-1.71,-10.55,-12.26,3.08,-0.18,60000.0,고졸,잔류,2.0,20.0,6.0,144.0,5582.0,4965.0,650.0,1375.0,187.0,20.0,52.0,103.0,615.0,104.0,44.0,475.0,975.0,113.0,45.0,36.35,39.04,26.31,21.52,3.72,514900.0
이대수,2014,2014,한화,3B,우투,우타,9.0,신규,A,2013,32.0,122.0,448.0,390.0,54.0,100.0,23.0,2.0,6.0,4.0,42.0,11.0,4.0,38.0,88.0,10.0,3.0,1.87,5.12,6.99,1.34,0.65,14000.0,고졸,잔류,4.0,20.0,9.0,128.0,4915.0,4271.0,480.0,1106.0,212.0,13.0,80.0,47.0,448.0,70.0,49.0,479.0,933.0,140.0,30.0,-7.66,2.52,-5.15,14.72,-2.34,321700.0
이대형,2014,2014,LG,CF,좌투,좌타,9.0,신규,A,2013,30.0,102.0,204.0,177.0,36.0,42.0,5.0,1.0,1.0,1.0,10.0,13.0,9.0,19.0,45.0,1.0,2.0,-3.4,0.55,-2.85,-0.12,-0.1,8500.0,고졸,이적,4.0,24.0,3.0,128.0,4930.0,4287.0,615.0,1209.0,193.0,38.0,59.0,59.0,574.0,139.0,71.0,451.0,806.0,80.0,42.0,-14.07,2.68,-11.39,22.22,0.07,399500.0
이대형,2018,2018,KT,CF,좌투,좌타,4.0,재자격,A,2017,34.0,100.0,366.0,337.0,51.0,90.0,8.0,3.0,0.0,0.0,24.0,23.0,4.0,24.0,54.0,8.0,1.0,-5.76,-2.51,-8.26,-0.68,-0.53,30000.0,고졸,잔류,2.0,4.0,10.0,144.0,5485.0,4937.0,655.0,1360.0,274.0,17.0,66.0,119.0,625.0,86.0,51.0,374.0,1017.0,118.0,45.0,-43.57,-32.55,-49.97,8.66,-4.0,494600.0
이대호,2021,2021,롯데,DH,우투,우타,4.0,재자격,B,2020,38.0,144.0,611.0,542.0,67.0,158.0,27.0,0.0,5.0,20.0,110.0,1.0,0.0,53.0,68.0,21.0,11.0,3.08,-13.67,-10.59,1.06,0.29,250000.0,고졸,잔류,4.0,25.0,7.0,144.0,5669.0,4958.0,750.0,1366.0,252.0,6.0,55.0,131.0,711.0,90.0,31.0,569.0,875.0,148.0,48.0,10.45,0.47,-0.21,17.58,0.98,893500.0
이명기,2023,2023,NC,LF,좌투,좌타,9.0,신규,C,2022,35.0,94.0,341.0,300.0,36.0,78.0,13.0,2.0,3.0,0.0,23.0,5.0,4.0,30.0,56.0,8.0,2.0,-6.0,-3.82,-9.83,0.24,-0.62,17500.0,35세 이상,이적,1.0,1.0,6.0,144.0,5585.0,4899.0,646.0,1260.0,230.0,15.0,88.0,105.0,613.0,100.0,39.0,501.0,981.0,112.0,47.0,-7.0,-6.71,-14.51,19.94,-0.72,823200.0
이범호,2016,2016,KIA,3B,우투,우타,4.0,재자격,A,2015,34.0,138.0,514.0,437.0,60.0,118.0,25.0,0.0,16.0,28.0,79.0,3.0,4.0,57.0,91.0,16.0,4.0,-3.08,-0.76,-3.84,3.21,-0.29,40000.0,고졸,잔류,4.0,36.0,7.0,144.0,5454.0,4777.0,648.0,1197.0,223.0,22.0,101.0,136.0,602.0,115.0,50.0,454.0,1126.0,105.0,43.0,-13.96,-24.5,-24.34,6.15,-1.26,658000.0
이병규(9),2014,2014,LG,DH,좌투,좌타,4.0,재자격,A,2013,39.0,97.0,397.0,370.0,38.0,129.0,18.0,3.0,2.0,5.0,74.0,2.0,2.0,22.0,40.0,10.0,3.0,-3.38,-6.84,-10.22,3.16,-1.1,60000.0,고졸,잔류,3.0,25.5,3.0,128.0,4930.0,4287.0,615.0,1209.0,193.0,38.0,59.0,59.0,574.0,139.0,71.0,451.0,806.0,80.0,42.0,-14.07,2.68,-11.39,22.22,0.07,399500.0
이성열,2020,2020,한화,RF,우투,좌타,4.0,재자격,A,2019,35.0,129.0,476.0,414.0,60.0,106.0,21.0,1.0,9.0,21.0,85.0,8.0,4.0,48.0,114.0,7.0,4.0,-9.31,-7.96,-17.27,2.47,-0.96,25000.0,고졸,잔류,2.0,14.0,9.0,144.0,5482.0,4882.0,607.0,1250.0,223.0,16.0,70.0,88.0,562.0,105.0,51.0,441.0,1090.0,112.0,45.0,-21.24,-0.29,-27.17,12.6,-2.18,668000.0
이승엽,2016,2016,삼성,DH,좌투,좌타,4.0,재자격,A,2015,39.0,122.0,522.0,470.0,87.0,156.0,28.0,1.0,6.0,26.0,90.0,2.0,1.0,40.0,71.0,10.0,6.0,0.4,-12.53,-12.13,3.39,0.04,90000.0,고졸,잔류,2.0,36.0,2.0,144.0,5803.0,5019.0,897.0,1515.0,259.0,25.0,70.0,176.0,850.0,157.0,52.0,581.0,930.0,109.0,57.0,0.96,5.77,-8.74,32.86,0.08,693600.0
이용규,2014,2014,KIA,CF,좌투,좌타,9.0,신규,A,2013,28.0,100.0,453.0,390.0,74.0,115.0,20.0,1.0,7.0,2.0,22.0,21.0,9.0,44.0,37.0,4.0,2.0,-0.34,-3.72,-4.06,2.73,-0.22,34000.0,고졸,이적,4.0,67.0,8.0,128.0,5051.0,4318.0,587.0,1125.0,195.0,13.0,75.0,88.0,545.0,141.0,47.0,537.0,864.0,110.0,42.0,-87.18,-1.3,-88.48,20.98,-8.2,343600.0
이용규,2019,2019,한화,CF,좌투,좌타,-1.0,자격유지,A,2018,33.0,134.0,575.0,491.0,82.0,144.0,14.0,1.0,12.0,1.0,36.0,30.0,11.0,59.0,62.0,8.0,5.0,0.47,-0.12,0.35,1.68,0.04,40000.0,고졸,잔류,3.0,26.0,3.0,144.0,5539.0,4972.0,729.0,1369.0,249.0,14.0,88.0,151.0,668.0,118.0,64.0,420.0,1098.0,113.0,28.0,24.57,11.38,15.86,12.72,2.19,562100.0
이원석,2017,2017,두산,3B,우투,우타,9.0,자격유지,A,2016,30.0,7.0,22.0,19.0,3.0,6.0,3.0,0.0,0.0,2.0,7.0,0.0,0.0,2.0,2.0,1.0,1.0,0.81,0.18,0.99,0.26,0.07,15000.0,고졸,이적,4.0,27.0,1.0,144.0,5841.0,5044.0,935.0,1504.0,284.0,25.0,86.0,183.0,877.0,85.0,45.0,600.0,884.0,121.0,68.0,2.92,4.73,-5.63,33.4,0.45,567400.0
