FA년도,구단명,선수명,세부 포지션,투,구분,FA등급,플레이년도,나이,게임수,선발등판,구원등판,승리,패전,세이브,블론세이브,홀드,블론홀드,이닝수,자책점,피안타,2루타허용,3루타허용,피홈런,볼넷허용,사구허용,탈삼진,폭투,ERA,FIP,선발 이닝,구원 이닝,선발 WAR,구원 WAR,종합 WAR,연봉,비고1,잔류 여부,FA 계약 연수,FA 계약 총액
2016,한화,박정진,RP,좌투,재자격,A,2015,39.0,76.0,0.0,76.0,6.0,1.0,1.0,1.0,15.0,4.0,96.0,33.0,84.0,12.0,1.0,8.0,39.0,5.0,92.0,7.0,3.09,4.08,0.0,96.0,0.0,2.22,2.22,20000.0,고졸,잔류,0.0,0.0
2017,한화,박정진,RP,좌투,재자격,A,2016,40.0,77.0,1.0,76.0,4.0,4.0,0.0,1.0,6.0,1.0,84.0,52.0,96.0,14.0,1.0,11.0,33.0,2.0,85.0,9.0,5.57,4.49,1.0,83.0,0.0,0.43,0.43,30000.0,고졸,잔류,0.0,0.0
2018,한화,박정진,RP,좌투,재자격,A,2017,41.0,55.0,0.0,55.0,3.0,2.0,1.0,0.0,7.0,0.0,48.0,21.0,38.0,6.0,0.0,6.0,24.0,3.0,51.0,3.0,3.94,4.78,0.0,48.0,0.0,0.7,0.7,33000.0,고졸,은퇴,0.0,0.0
2012,삼성,배영수,SP,우투,재자격,A,2011,30.0,25.0,17.0,8.0,6.0,8.0,0.0,0.0,1.0,0.0,103.0,62.0,127.0,23.0,5.0,5.0,27.0,6.0,47.0,5.0,5.42,4.02,89.2,13.1,0.06,0.19,0.25,40000.0,고졸,잔류,0.0,0.0
2013,삼성,배영수,SP,우투,재자격,A,2012,31.0,26.0,25.0,1.0,12.0,8.0,0.0,0.0,0.0,0.0,160.0,57.0,159.0,31.0,3.0,7.0,39.0,3.0,89.0,5.0,3.21,3.41,157.2,2.1,3.39,0.12,3.51,40000.0,고졸,잔류,0.0,0.0
2014,삼성,배영수,SP,우투,재자격,A,2013,32.0,27.0,26.0,1.0,14.0,4.0,0.0,0.0,0.0,0.0,151.0,79.0,193.0,33.0,5.0,9.0,38.0,14.0,101.0,5.0,4.71,3.9,150.0,1.0,1.91,0.04,1.95,45000.0,고졸,잔류,0.0,0.0
2015,삼성,배영수,SP,우투,재자격,A,2014,33.0,25.0,24.0,1.0,8.0,6.0,0.0,0.0,0.0,0.0,133.2,81.0,171.0,39.0,7.0,14.0,39.0,5.0,111.0,4.0,5.45,4.42,133.2,0.0,2.36,0.0,2.36,55000.0,고졸,이적,3.0,21.0
2016,한화,배영수,SP,우투,FA 1년차,A,2015,34.0,32.0,21.0,11.0,4.0,11.0,0.0,1.0,1.0,0.0,101.0,79.0,124.0,19.0,1.0,21.0,39.0,14.0,56.0,6.0,7.04,6.81,85.0,16.0,-0.11,0.09,-0.02,55000.0,고졸,잔류,0.0,0.0
2019,삼성,백정현,SP,좌투,신규,B,2018,31.0,25.0,23.0,2.0,7.0,7.0,1.0,0.0,0.0,0.0,125.2,64.0,142.0,27.0,2.0,18.0,36.0,3.0,99.0,2.0,4.58,5.04,120.0,5.2,3.13,0.23,3.36,15500.0,고졸,잔류,0.0,0.0
2020,삼성,백정현,SP,좌투,신규,B,2019,32.0,28.0,27.0,1.0,8.0,10.0,0.0,0.0,0.0,0.0,157.0,74.0,158.0,29.0,4.0,17.0,56.0,6.0,82.0,4.0,4.24,5.02,153.2,3.1,3.08,-0.17,2.91,21000.0,고졸,잔류,0.0,0.0
2021,삼성,백정현,SP,좌투,신규,B,2020,33.0,11.0,11.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,59.0,34.0,67.0,15.0,2.0,13.0,17.0,1.0,46.0,1.0,5.19,5.61,59.0,0.0,0.32,0.0,0.32,28000.0,고졸,잔류,0.0,0.0
2022,삼성,백정현,SP,좌투,신규,B,2021,34.0,27.0,27.0,0.0,14.0,5.0,0.0,0.0,0.0,0.0,157.2,46.0,142.0,25.0,1.0,15.0,54.0,2.0,109.0,5.0,2.63,4.23,157.2,0.0,6.2,0.0,6.2,25500.0,고졸,잔류,4.0,38.0
2023,삼성,백정현,SP,좌투,FA 1년차,B,2022,35.0,24.0,24.0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,124.2,73.0,154.0,27.0,2.0,22.0,37.0,9.0,70.0,9.0,5.27,5.62,124.2,0.0,1.51,0.0,1.51,80000.0,고졸,잔류,0.0,0.0
2014,LG,봉중근,CP,좌투,신규,A,2013,33.0,55.0,0.0,55.0,8.0,1.0,38.0,3.0,0.0,0.0,61.0,9.0,44.0,8.0,0.0,2.0,27.0,3.0,54.0,3.0,1.33,3.4,0.0,61.0,0.0,2.95,2.95,15000.0,고졸,잔류,0.0,0.0
2015,LG,봉중근,CP,좌투,신규,A,2014,34.0,50.0,0.0,50.0,2.0,4.0,30.0,6.0,0.0,0.0,49.2,16.0,51.0,7.0,0.0,2.0,17.0,4.0,45.0,6.0,2.9,3.78,0.0,49.2,0.0,2.15,2.15,45000.0,고졸,잔류,0.0,0.0
2016,LG,봉중근,CP,좌투,신규,A,2015,35.0,47.0,2.0,45.0,5.0,2.0,15.0,5.0,0.0,0.0,49.1,27.0,60.0,6.0,0.0,10.0,23.0,6.0,39.0,3.0,4.93,6.1,8.1,41.0,0.09,-0.41,-0.32,45000.0,고졸,잔류,0.0,0.0
2017,LG,봉중근,RP,좌투,신규,A,2016,36.0,19.0,5.0,14.0,1.0,0.0,0.0,2.0,2.0,0.0,36.1,20.0,41.0,9.0,0.0,4.0,22.0,2.0,20.0,0.0,4.95,6.22,18.2,17.2,0.54,0.08,0.62,30000.0,고졸,잔류,2.0,15.0
2013,키움,손승락,CP,우투,신규,A,2012,30.0,53.0,0.0,53.0,3.0,2.0,33.0,6.0,0.0,0.0,50.1,12.0,50.0,4.0,3.0,2.0,15.0,0.0,47.0,2.0,2.15,2.43,0.0,50.1,0.0,1.88,1.88,18000.0,대졸,잔류,0.0,0.0
2014,키움,손승락,CP,우투,신규,A,2013,31.0,57.0,0.0,57.0,3.0,2.0,46.0,5.0,0.0,0.0,62.2,16.0,50.0,7.0,2.0,1.0,20.0,1.0,52.0,4.0,2.3,2.81,0.0,62.2,0.0,2.7,2.7,26000.0,대졸,잔류,0.0,0.0
2015,키움,손승락,CP,우투,신규,A,2014,32.0,62.0,0.0,62.0,3.0,5.0,32.0,6.0,0.0,0.0,62.1,30.0,69.0,12.0,0.0,6.0,11.0,2.0,53.0,3.0,4.33,3.92,0.0,62.1,0.0,1.54,1.54,43000.0,대졸,잔류,0.0,0.0
2016,키움,손승락,CP,우투,신규,A,2015,33.0,58.0,0.0,58.0,4.0,6.0,23.0,6.0,0.0,0.0,61.1,26.0,73.0,7.0,1.0,6.0,13.0,3.0,63.0,1.0,3.82,3.4,0.0,61.1,0.0,0.49,0.49,53000.0,대졸,이적,4.0,60.0
2017,롯데,손승락,CP,우투,FA 1년차,A,2016,34.0,48.0,0.0,48.0,7.0,3.0,20.0,6.0,0.0,0.0,50.2,24.0,61.0,6.0,1.0,5.0,24.0,3.0,48.0,5.0,4.26,4.52,0.0,50.2,0.0,1.42,1.42,70000.0,고졸,잔류,0.0,0.0
2018,롯데,손승락,CP,우투,재자격,A,2017,35.0,61.0,0.0,61.0,1.0,3.0,37.0,5.0,0.0,0.0,62.0,15.0,59.0,3.0,1.0,7.0,11.0,1.0,62.0,0.0,2.18,3.55,0.0,62.0,0.0,2.79,2.79,70000.0,고졸,잔류,0.0,0.0
2019,롯데,손승락,CP,우투,재자격,A,2018,36.0,57.0,0.0,57.0,3.0,5.0,28.0,6.0,0.0,0.0,57.2,25.0,53.0,13.0,0.0,1.0,20.0,1.0,60.0,2.0,3.9,2.92,0.0,57.2,0.0,2.49,2.49,70000.0,고졸,잔류,0.0,0.0
2020,롯데,손승락,CP,우투,재자격,A,2019,37.0,53.0,0.0,53.0,4.0,3.0,9.0,4.0,2.0,1.0,52.2,23.0,55.0,9.0,1.0,3.0,19.0,3.0,44.0,2.0,3.93,3.58,0.0,52.2,0.0,0.85,0.85,70000.0,고졸,은퇴,0.0,0.0
2013,롯데,송승준,SP,우투,신규,A,2012,32.0,28.0,28.0,0.0,7.0,11.0,0.0,0.0,0.0,0.0,163.0,60.0,158.0,20.0,1.0,12.0,57.0,8.0,117.0,5.0,3.31,3.8,163.0,0.0,2.96,0.0,2.96,30000.0,고졸,잔류,0.0,0.0
2014,롯데,송승준,SP,우투,신규,A,2013,33.0,29.0,29.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,167.2,70.0,171.0,32.0,3.0,11.0,64.0,4.0,133.0,4.0,3.76,3.85,167.2,0.0,4.78,0.0,4.78,31000.0,고졸,잔류,0.0,0.0
2015,롯데,송승준,SP,우투,신규,A,2014,34.0,24.0,23.0,1.0,8.0,11.0,0.0,0.0,0.0,0.0,122.0,82.0,166.0,29.0,4.0,16.0,43.0,10.0,89.0,4.0,6.05,5.34,117.2,4.1,1.68,0.23,1.91,36000.0,고졸,잔류,0.0,0.0
2016,롯데,송승준,SP,우투,신규,A,2015,35.0,25.0,23.0,2.0,8.0,7.0,0.0,0.0,0.0,0.0,125.0,66.0,131.0,19.0,1.0,17.0,46.0,4.0,112.0,8.0,4.75,4.69,120.2,4.1,2.71,0.29,3.0,34000.0,고졸,잔류,4.0,40.0
2017,롯데,송승준,SP,우투,FA 1년차,A,2016,36.0,10.0,10.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,41.1,40.0,62.0,9.0,1.0,6.0,21.0,2.0,35.0,4.0,8.71,5.58,41.1,0.0,-0.08,0.0,-0.08,40000.0,고졸,잔류,0.0,0.0
2012,SSG,송은범,RP,우투,신규,A,2011,27.0,38.0,11.0,27.0,8.0,8.0,1.0,2.0,4.0,0.0,78.2,30.0,71.0,9.0,0.0,10.0,45.0,2.0,55.0,5.0,3.43,5.12,41.2,37.0,1.36,0.22,1.58,22000.0,고졸,잔류,0.0,0.0
2013,SSG,송은범,SP,우투,신규,A,2012,28.0,20.0,19.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,97.2,45.0,98.0,16.0,0.0,6.0,44.0,2.0,72.0,4.0,4.15,3.83,96.2,1.0,1.25,0.05,1.3,24000.0,고졸,잔류,0.0,0.0
2014,KIA,송은범,CP,우투,신규,A,2013,29.0,41.0,4.0,37.0,1.0,7.0,5.0,3.0,6.0,0.0,48.3,40.0,71.0,15.0,2.0,4.0,27.0,0.0,29.0,9.0,7.35,4.94,15.2,33.1,-0.18,-0.18,-0.36,24000.0,고졸,잔류,0.0,0.0
2015,KIA,송은범,RP,우투,신규,A,2014,30.0,27.0,11.0,16.0,4.0,8.0,0.0,0.0,0.0,0.0,78.2,64.0,114.0,16.0,5.0,11.0,43.0,5.0,60.0,12.0,7.32,5.9,52.2,26.0,0.27,-0.34,-0.08,30000.0,고졸,이적,4.0,34.0
2017,한화,송은범,SP,우투,재자격,A,2016,32.0,30.0,27.0,3.0,2.0,11.0,0.0,0.0,1.0,0.0,122.0,87.0,159.0,21.0,1.0,13.0,49.0,5.0,85.0,11.0,6.42,5.14,118.0,4.0,1.41,-0.2,1.21,45000.0,고졸,잔류,0.0,0.0
2018,한화,송은범,RP,우투,재자격,A,2017,33.0,13.0,6.0,7.0,0.0,4.0,1.0,0.0,0.0,1.0,37.1,27.0,45.0,4.0,0.0,4.0,23.0,3.0,15.0,1.0,6.51,6.64,27.1,10.0,0.4,-0.28,0.12,45000.0,고졸,잔류,0.0,0.0
2019,한화,송은범,RP,우투,재자격,A,2018,34.0,68.0,0.0,68.0,7.0,4.0,1.0,3.0,10.0,1.0,79.1,22.0,77.0,9.0,1.0,2.0,33.0,5.0,61.0,8.0,2.5,4.21,0.0,79.1,0.0,2.77,2.77,45000.0,고졸,잔류,0.0,0.0
2020,LG,송은범,RP,우투,재자격,A,2019,35.0,63.0,0.0,63.0,2.0,6.0,1.0,0.0,9.0,0.0,60.0,35.0,80.0,5.0,2.0,6.0,23.0,3.0,36.0,3.0,5.25,4.64,0.0,60.0,0.0,-0.11,-0.11,25000.0,고졸,잔류,2.0,10.0
2021,LG,송은범,RP,우투,FA 1년차,A,2020,36.0,56.0,1.0,55.0,4.0,2.0,2.0,0.0,6.0,0.0,56.0,28.0,66.0,8.0,1.0,4.0,19.0,3.0,28.0,2.0,4.5,4.81,2.1,53.2,-0.33,0.91,0.58,27000.0,고졸,잔류,0.0,0.0
2013,키움,심수창,RP,우투,신규,A,2012,31.0,21.0,3.0,18.0,0.0,5.0,0.0,1.0,0.0,0.0,40.2,33.0,58.0,10.0,0.0,3.0,21.0,2.0,24.0,2.0,7.3,4.57,12.2,28.0,-0.36,-0.34,-0.7,6500.0,대졸,잔류,0.0,0.0
2015,롯데,심수창,CP,우투,신규,A,2014,33.0,11.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,19.2,20.0,24.0,5.0,1.0,7.0,8.0,0.0,14.0,1.0,9.15,7.97,0.0,19.2,0.0,0.03,0.03,5500.0,대졸,잔류,0.0,0.0
2016,롯데,심수창,CP,우투,신규,A,2015,34.0,39.0,6.0,33.0,4.0,6.0,5.0,2.0,3.0,0.0,73.1,49.0,99.0,14.0,0.0,9.0,29.0,3.0,76.0,14.0,6.01,4.23,26.1,47.0,-0.17,0.23,0.05,5500.0,대졸,이적,4.0,13.0
2017,한화,심수창,RP,우투,FA 1년차,A,2016,35.0,66.0,10.0,56.0,5.0,5.0,2.0,0.0,6.0,0.0,113.1,75.0,138.0,23.0,1.0,14.0,58.0,4.0,76.0,6.0,5.96,5.68,32.2,80.2,0.0,0.33,0.33,25000.0,대졸,잔류,0.0,0.0
2015,한화,안영명,RP,우투,신규,A,2014,30.0,48.0,6.0,42.0,7.0,6.0,4.0,1.0,6.0,3.0,97.2,49.0,114.0,20.0,3.0,8.0,36.0,13.0,64.0,3.0,4.52,5.11,31.0,66.2,-0.24,1.91,1.68,11500.0,고졸,잔류,0.0,0.0
2016,한화,안영명,SP,우투,신규,A,2015,31.0,35.0,27.0,8.0,10.0,6.0,0.0,0.0,1.0,0.0,125.1,71.0,137.0,23.0,1.0,15.0,60.0,11.0,82.0,4.0,5.1,5.61,114.1,11.0,2.48,0.16,2.64,15500.0,고졸,잔류,0.0,0.0
2017,한화,안영명,SP,우투,신규,A,2016,32.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.2,6.0,9.0,3.0,0.0,0.0,4.0,0.0,1.0,0.0,20.25,7.95,2.0,0.2,-0.33,-0.13,-0.47,28000.0,고졸,잔류,0.0,0.0
2018,한화,안영명,SP,우투,신규,A,2017,33.0,25.0,16.0,9.0,1.0,8.0,0.0,1.0,0.0,0.0,87.2,56.0,123.0,30.0,2.0,11.0,28.0,5.0,54.0,5.0,5.75,5.16,75.1,12.1,0.62,0.05,0.66,20000.0,고졸,잔류,2.0,12.0
2019,한화,안영명,RP,우투,FA 1년차,A,2018,34.0,53.0,1.0,52.0,8.0,2.0,0.0,1.0,8.0,0.0,66.0,42.0,83.0,10.0,0.0,12.0,15.0,4.0,48.0,4.0,5.73,5.54,5.0,61.0,0.1,0.81,0.91,35000.0,고졸,잔류,0.0,0.0
2012,삼성,안지만,RP,우투,신규,A,2011,28.0,47.0,5.0,42.0,11.0,5.0,0.0,1.0,17.0,0.0,86.0,27.0,74.0,11.0,1.0,3.0,20.0,4.0,77.0,2.0,2.83,2.67,28.1,57.2,0.64,2.02,2.66,17000.0,고졸,잔류,0.0,0.0
2013,삼성,안지만,RP,우투,신규,A,2012,29.0,56.0,0.0,56.0,1.0,2.0,0.0,1.0,28.0,0.0,63.1,12.0,42.0,9.0,1.0,1.0,20.0,0.0,58.0,1.0,1.71,2.27,0.0,63.1,0.0,2.9,2.9,25000.0,고졸,잔류,0.0,0.0
2014,삼성,안지만,RP,우투,신규,A,2013,30.0,54.0,0.0,54.0,6.0,2.0,0.0,3.0,22.0,3.0,63.2,22.0,46.0,8.0,1.0,3.0,23.0,3.0,60.0,5.0,3.11,3.17,0.0,63.2,0.0,1.23,1.23,30000.0,고졸,잔류,0.0,0.0
2015,삼성,안지만,RP,우투,신규,A,2014,31.0,55.0,0.0,55.0,6.0,3.0,1.0,4.0,27.0,0.0,62.1,26.0,51.0,9.0,0.0,5.0,30.0,4.0,67.0,4.0,3.75,4.11,0.0,62.1,0.0,1.63,1.63,41000.0,고졸,잔류,4.0,65.0
2016,삼성,안지만,RP,우투,FA 1년차,A,2015,32.0,66.0,0.0,66.0,4.0,3.0,0.0,4.0,37.0,0.0,78.1,29.0,76.0,18.0,2.0,8.0,26.0,2.0,96.0,2.0,3.33,3.27,0.0,78.1,0.0,2.52,2.52,75000.0,고졸,잔류,0.0,0.0
2014,KIA,양현종,SP,좌투,신규,A,2013,25.0,19.0,17.0,2.0,9.0,3.0,0.0,0.0,0.0,0.0,104.2,36.0,99.0,14.0,1.0,10.0,43.0,6.0,95.0,3.0,3.1,4.12,97.1,7.1,3.77,0.57,4.34,9000.0,고졸,잔류,0.0,0.0
2015,KIA,양현종,SP,좌투,신규,A,2014,26.0,29.0,29.0,0.0,16.0,8.0,0.0,0.0,0.0,0.0,171.1,81.0,162.0,30.0,6.0,12.0,77.0,4.0,165.0,5.0,4.25,4.13,171.1,0.0,5.63,0.0,5.63,12000.0,고졸,잔류,0.0,0.0
2016,KIA,양현종,SP,좌투,신규,A,2015,27.0,32.0,31.0,1.0,15.0,6.0,0.0,0.0,1.0,0.0,184.1,50.0,150.0,27.0,2.0,18.0,78.0,7.0,157.0,6.0,2.44,4.56,184.0,0.1,8.97,0.04,9.01,40000.0,고졸,잔류,0.0,0.0
2017,KIA,양현종,SP,좌투,신규,A,2016,28.0,31.0,31.0,0.0,10.0,12.0,0.0,0.0,0.0,0.0,200.1,82.0,191.0,31.0,2.0,19.0,77.0,2.0,146.0,6.0,3.68,4.77,200.1,0.0,6.19,0.0,6.19,75000.0,고졸,잔류,1.0,22.5
2018,KIA,양현종,SP,좌투,재자격,B,2017,29.0,31.0,31.0,0.0,20.0,6.0,0.0,0.0,0.0,0.0,193.1,74.0,209.0,32.0,2.0,17.0,45.0,0.0,158.0,14.0,3.44,3.93,193.1,0.0,6.17,0.0,6.17,150000.0,고졸,잔류,0.0,0.0
2019,KIA,양현종,SP,좌투,재자격,B,2018,30.0,29.0,29.0,0.0,13.0,11.0,0.0,0.0,0.0,0.0,184.1,85.0,199.0,33.0,0.0,21.0,43.0,2.0,152.0,5.0,4.15,4.4,184.1,0.0,5.83,0.0,5.83,230000.0,고졸,잔류,0.0,0.0
2020,KIA,양현종,SP,좌투,재자격,B,2019,31.0,29.0,29.0,0.0,16.0,8.0,0.0,0.0,0.0,0.0,184.2,47.0,165.0,32.0,1.0,6.0,33.0,2.0,163.0,1.0,2.29,2.58,184.2,0.0,7.53,0.0,7.53,230000.0,고졸,잔류,0.0,0.0
2021,KIA,양현종,SP,좌투,재자격,B,2020,32.0,31.0,31.0,0.0,11.0,10.0,0.0,0.0,0.0,0.0,172.1,90.0,180.0,40.0,4.0,13.0,64.0,5.0,149.0,7.0,4.7,3.97,172.1,0.0,3.9,0.0,3.9,230000.0,고졸,미국,0.0,0.0
2011,삼성,오승환,CP,우투,신규,A,2010,28.0,16.0,0.0,16.0,0.0,0.0,4.0,3.0,0.0,0.0,14.0,7.0,13.0,1.0,0.0,4.0,5.0,0.0,19.0,1.0,4.5,4.85,0.0,14.0,0.0,0.32,0.32,26000.0,대졸,잔류,0.0,0.0
2012,삼성,오승환,CP,우투,신규,A,2011,29.0,54.0,0.0,54.0,1.0,0.0,47.0,1.0,0.0,0.0,57.0,4.0,27.0,3.0,0.0,2.0,11.0,0.0,76.0,1.0,0.63,1.31,0.0,57.0,0.0,3.78,3.78,24000.0,대졸,잔류,0.0,0.0
2013,삼성,오승환,CP,우투,신규,A,2012,30.0,50.0,0.0,50.0,2.0,1.0,37.0,0.0,0.0,0.0,55.2,12.0,33.0,8.0,1.0,1.0,13.0,3.0,81.0,2.0,1.94,0.73,0.0,55.2,0.0,2.36,2.36,38000.0,대졸,잔류,0.0,0.0
2014,삼성,오승환,CP,우투,신규,A,2013,31.0,48.0,0.0,48.0,4.0,1.0,28.0,2.0,0.0,0.0,51.2,10.0,33.0,7.0,1.0,4.0,10.0,2.0,54.0,0.0,1.74,2.83,0.0,51.2,0.0,1.69,1.69,55000.0,대졸,일본,0.0,0.0
2021,삼성,오승환,CP,우투,신규,C,2020,38.0,45.0,0.0,45.0,3.0,2.0,18.0,4.0,2.0,0.0,47.2,14.0,44.0,10.0,1.0,2.0,15.0,2.0,39.0,1.0,2.64,3.55,0.0,47.2,0.0,2.14,2.14,120000.0,신규 35세 해외 복귀,잔류,0.0,0.0
2022,삼성,오승환,CP,우투,신규,C,2021,39.0,64.0,0.0,64.0,0.0,2.0,44.0,1.0,0.0,0.0,62.0,14.0,56.0,15.0,3.0,3.0,16.0,2.0,57.0,2.0,2.03,2.79,0.0,62.0,0.0,2.7,2.7,110000.0,신규 35세 해외 복귀,잔류,0.0,0.0
2023,삼성,오승환,CP,우투,신규,C,2022,40.0,57.0,0.0,57.0,6.0,2.0,31.0,7.0,2.0,0.0,57.0,21.0,59.0,9.0,1.0,8.0,13.0,1.0,51.0,1.0,3.32,3.98,0.0,57.0,0.0,1.54,1.54,160000.0,신규 35세 해외 복귀,잔류,0.0,0.0
2024,삼성,오승환,CP,우투,신규,C,2023,41.0,58.0,1.0,57.0,4.0,5.0,30.0,4.0,2.0,0.0,62.2,24.0,57.0,11.0,1.0,9.0,15.0,2.0,44.0,0.0,3.45,4.59,5.0,57.2,0.06,0.93,0.99,140000.0,신규 35세 해외 복귀,잔류,2.0,22.0
2025,삼성,오승환,CP,우투,FA 1년차,C,2024,42.0,58.0,0.0,58.0,3.0,9.0,27.0,8.0,2.0,1.0,55.0,30.0,75.0,17.0,2.0,9.0,18.0,3.0,42.0,5.0,4.91,5.31,0.0,55.0,0.0,0.09,0.09,40000.0,신규 35세 해외 복귀,잔류,0.0,0.0
2017,키움,오주원,RP,좌투,신규,A,2016,31.0,55.0,0.0,55.0,3.0,2.0,2.0,0.0,7.0,0.0,51.0,25.0,50.0,7.0,1.0,3.0,17.0,4.0,40.0,0.0,4.41,4.26,0.0,51.0,0.0,1.56,1.56,8800.0,고졸,잔류,0.0,0.0
2018,키움,오주원,RP,좌투,신규,A,2017,32.0,57.0,3.0,54.0,2.0,7.0,1.0,1.0,18.0,2.0,73.2,39.0,96.0,22.0,1.0,10.0,15.0,2.0,56.0,6.0,4.76,4.59,15.0,58.2,0.0,1.3,1.3,12000.0,고졸,잔류,0.0,0.0
2019,키움,오주원,RP,좌투,신규,A,2018,33.0,61.0,0.0,61.0,3.0,6.0,1.0,3.0,15.0,0.0,52.1,36.0,61.0,11.0,0.0,8.0,13.0,1.0,36.0,1.0,6.19,5.16,0.0,52.1,0.0,0.56,0.56,15000.0,고졸,잔류,0.0,0.0
2020,키움,오주원,CP,좌투,신규,A,2019,34.0,57.0,0.0,57.0,3.0,3.0,18.0,2.0,3.0,0.0,54.1,14.0,54.0,7.0,0.0,1.0,7.0,3.0,41.0,1.0,2.32,2.71,0.0,54.1,0.0,2.13,2.13,15000.0,고졸,잔류,2.0,7.0
2021,키움,오주원,RP,좌투,FA 1년차,A,2020,35.0,25.0,0.0,25.0,3.0,1.0,0.0,1.0,2.0,1.0,18.1,11.0,22.0,2.0,0.0,6.0,0.0,0.0,13.0,0.0,5.4,6.12,0.0,18.1,0.0,-0.06,-0.06,20000.0,고졸,잔류,0.0,0.0
2014,LG,우규민,SP,우언,신규,A,2013,28.0,30.0,25.0,5.0,10.0,8.0,0.0,0.0,2.0,1.0,147.1,64.0,162.0,25.0,6.0,5.0,31.0,12.0,92.0,2.0,3.91,3.5,139.0,8.1,3.67,-0.44,3.23,9000.0,고졸,잔류,0.0,0.0
2015,LG,우규민,SP,우언,신규,A,2014,29.0,29.0,28.0,1.0,11.0,5.0,0.0,0.0,0.0,0.0,153.2,69.0,170.0,18.0,5.0,11.0,34.0,12.0,103.0,2.0,4.04,4.36,152.2,1.0,4.48,0.04,4.53,18000.0,고졸,잔류,0.0,0.0
2016,LG,우규민,SP,우언,신규,A,2015,30.0,25.0,25.0,0.0,11.0,9.0,0.0,0.0,0.0,0.0,152.2,58.0,163.0,26.0,5.0,13.0,17.0,12.0,119.0,2.0,3.42,3.75,152.2,0.0,5.21,0.0,5.21,30000.0,고졸,잔류,0.0,0.0
2017,LG,우규민,SP,우언,신규,A,2016,31.0,28.0,24.0,4.0,6.0,11.0,0.0,0.0,1.0,1.0,132.0,72.0,166.0,30.0,0.0,16.0,36.0,18.0,81.0,1.0,4.91,5.39,129.0,3.0,2.55,-0.42,2.13,40000.0,고졸,이적,4.0,65.0
2018,삼성,우규민,SP,우언,FA 1년차,B,2017,32.0,27.0,25.0,2.0,7.0,10.0,0.0,0.0,0.0,0.0,133.0,77.0,161.0,28.0,4.0,19.0,23.0,16.0,100.0,2.0,5.21,4.94,130.0,3.0,1.18,0.15,1.33,70000.0,고졸,잔류,0.0,0.0
2019,삼성,우규민,RP,우언,재자격,B,2018,33.0,48.0,0.0,48.0,4.0,1.0,0.0,1.0,10.0,0.0,58.2,28.0,70.0,12.0,0.0,6.0,12.0,5.0,48.0,0.0,4.3,4.36,0.0,58.2,0.0,1.86,1.86,70000.0,고졸,잔류,0.0,0.0
